"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Midwest Geriatric Management, LLC","MO","Healthcare Provider","4814","12/14/2020","Hacking/IT Incident","Email","No",""
"Beacon Health Solutions, LLC","FL","Business Associate","500","12/11/2020","Hacking/IT Incident","Network Server","Yes",""
"Southeast Health Center of Ripley County","MO","Healthcare Provider","5001","12/11/2020","Hacking/IT Incident","Network Server","No",""
"Holy Redeemer Ambulatory Surgical Center","PA","Healthcare Provider","1298","12/11/2020","Hacking/IT Incident","Email","No",""
"HMC Healthworks, Inc.","FL","Business Associate","985","12/11/2020","Hacking/IT Incident","Email","Yes",""
"SSM Health Insurance Company","WI","Health Plan","4492","12/11/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"TNMO Healthcare, LLC","TN","Healthcare Provider","501","12/11/2020","Improper Disposal","Other","No",""
"Cedar Springs Hospital","CO","Healthcare Provider","2283","12/09/2020","Loss","Other Portable Electronic Device","No",""
"Monroe Surgical Hospital, LLC","LA","Healthcare Provider","3500","12/09/2020","Hacking/IT Incident","Network Server","Yes",""
"The Presbyterian Homes, Inc. ","NC","Healthcare Provider","1041","12/09/2020","Hacking/IT Incident","Network Server","Yes",""
"Sonoma Valley Healthcare District","CA","Healthcare Provider","69000","12/09/2020","Hacking/IT Incident","Email","No",""
"Employment Specialists of Maine, Inc.","ME","Healthcare Provider","1639","12/09/2020","Hacking/IT Incident","Network Server","No",""
"Dental Care Alliance, LLC","FL","Business Associate","1004304","12/08/2020","Hacking/IT Incident","Network Server","Yes",""
"Mirra Health Care","FL","Business Associate","1064","12/08/2020","Unauthorized Access/Disclosure","Other","Yes",""
"Meade Physicians, Inc.","KY","Healthcare Provider","695","12/07/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Mercy Health","MO","Healthcare Provider","11187","12/04/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Meharry Medical College","TN","Healthcare Provider","20963","12/04/2020","Hacking/IT Incident","Email","No",""
"McLeroy Gibbs and Klein","TX","Healthcare Provider","3200","12/04/2020","Unauthorized Access/Disclosure","Other","No",""
"Sincera Reproductive Medicine","PA","Healthcare Provider","37989","12/03/2020","Hacking/IT Incident","Network Server","No",""
"Montefiore Medical Center ","NY","Healthcare Provider","670","12/01/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Liv-On Family Care Center, PA","MN","Healthcare Provider","1580","12/01/2020","Theft","Desktop Computer, Laptop, Other Portable Electronic Device","No",""
"US Med, LLC","FL","Healthcare Provider","685","11/30/2020","Hacking/IT Incident","Network Server","No",""
"Brazos Valley Plastic Surgery","TX","Healthcare Provider","2255","11/26/2020","Unauthorized Access/Disclosure","Email","No",""
"Tufts Health Plan","MA","Health Plan","60545","11/25/2020","Hacking/IT Incident","Email","Yes",""
"US Fertility LLC","MD","Business Associate","878550","11/25/2020","Hacking/IT Incident","Network Server","Yes",""
"Presbyterian Health Plan","NM","Business Associate","3557","11/23/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"The Tree House Child Advocacy Center of Montgomery County","MD","Business Associate","514","11/23/2020","Unauthorized Access/Disclosure","Network Server","Yes",""
"Interim HealthCare of the Capital Region","NY","Healthcare Provider","1127","11/23/2020","Hacking/IT Incident","Email","No",""
"Bilingual Psychological Associates, PC","TX","Healthcare Provider","1925","11/23/2020","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server","No",""
"The Nebraska Medical Center and University of Nebraska Medical Center, Affiliated Covered Entities","NE","Healthcare Provider","216472","11/23/2020","Hacking/IT Incident","Network Server","No",""
"Indian Health Council Inc.","CA","Healthcare Provider","5769","11/20/2020","Hacking/IT Incident","Network Server","No",""
"Harvard Pilgrim Health Care, Inc. ","MA","Business Associate","8022","11/20/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Louisiana State University- Health Care Services Division","LA","Healthcare Provider","8000","11/20/2020","Hacking/IT Incident","Email","No",""
"Bayhealth Medical Center, Inc.","DE","Healthcare Provider","78006","11/20/2020","Hacking/IT Incident","Network Server","Yes",""
"Planned Parenthood of Metro Washington","DC","Healthcare Provider","500","11/20/2020","Hacking/IT Incident","Network Server","No",""
"Legacy Community Health Services","TX","Healthcare Provider","3076","11/20/2020","Hacking/IT Incident","Email","No",""
"Golden Gate Regional Center ","CA","Business Associate","11315","11/20/2020","Hacking/IT Incident","Network Server","Yes",""
"AspenPointe, Inc. ","CO","Healthcare Provider","295617","11/19/2020","Hacking/IT Incident","Network Server","No",""
"Jonathan Woolfson, MD, PC","GA","Healthcare Provider","2000","11/19/2020","Theft","Laptop","No",""
"University Hopsital","NJ","Healthcare Provider","39207","11/13/2020","Hacking/IT Incident","Network Server","No",""
"Northpoint Recovery Holdings, LLC","ID","Healthcare Provider","1866","11/13/2020","Hacking/IT Incident","Email","No",""
"Open Door Family Medical Center, Inc.","NY","Healthcare Provider","36474","11/12/2020","Hacking/IT Incident","Email, Network Server","No",""
"Delaware Department of Health and Social Services, Division of Public Health","DE","Healthcare Provider","9930","11/12/2020","Unauthorized Access/Disclosure","Email","No",""
"ProMedica Bixby Hospital","MI","Healthcare Provider","3500","11/12/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Jekyll Island-State Park Authority - Jekyll Island Fire/EMS","GA","Healthcare Provider","1881","11/09/2020","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Bruce L. Boros, M.D., P.A. DBA Advanced Urgent Care","FL","Healthcare Provider","58823","11/06/2020","Unauthorized Access/Disclosure","Network Server","No",""
"Galstan & Ward Family and Cosmetic Dentistry","VA","Healthcare Provider","10759","11/06/2020","Hacking/IT Incident","Email, Network Server","No",""
"Seeley Enterprises Company","OH","Healthcare Provider","16196","11/06/2020","Hacking/IT Incident","Network Server","No",""
"Conway Regional Health System","AR","Healthcare Provider","2945","11/06/2020","Unauthorized Access/Disclosure","Email","No",""
"People Incorporated","MN","Healthcare Provider","27500","11/06/2020","Hacking/IT Incident","Email","No",""
"Lawrence General Hospital","MA","Healthcare Provider","176587","11/05/2020","Hacking/IT Incident","Network Server","No",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","3815","11/05/2020","Unauthorized Access/Disclosure","Email","No",""
"Pristine Dental ","MA","Healthcare Provider","1428","11/05/2020","Hacking/IT Incident","Network Server","No",""
"Alamance Skin Center","NC","Healthcare Provider","100000","11/04/2020","Hacking/IT Incident","Electronic Medical Record","No",""
"The GEO Group Inc.","FL","Healthcare Provider","3991","11/04/2020","Hacking/IT Incident","Network Server","No",""
"Chesapeake Regional Healthcare","VA","Healthcare Provider","24000","11/03/2020","Hacking/IT Incident","Network Server","Yes",""
"Virginia Hospital Center Health System","VA","Healthcare Provider","23846","10/31/2020","Hacking/IT Incident","Network Server","Yes",""
"Yale New Haven Hospital","CT","Healthcare Provider","15904","10/30/2020","Hacking/IT Incident","Network Server","Yes",""
"Connecticut Department of Social Services","CT","Health Plan","37000","10/30/2020","Hacking/IT Incident","Email","No",""
"My Choice Housecalls, LLC","FL","Healthcare Provider","3370","10/30/2020","Theft","Laptop","No",""
"Timberline Billing Service, LLC","IA","Business Associate","117088","10/30/2020","Hacking/IT Incident","Network Server","Yes",""
"CCPOA Benefit Trust Fund","CA","Health Plan","80000","10/29/2020","Hacking/IT Incident","Network Server","No",""
"Kids First Dentistry & Orthodontics, a subsidiary of Professional Dental Alliance of Connecticut, PLLC","CT","Healthcare Provider","5000","10/28/2020","Hacking/IT Incident","Network Server","No",""
"First Impressions Orthodontics, a subsidiary of Professional Dental Alliance of Connecticut PLLC","CT","Healthcare Provider","20727","10/28/2020","Hacking/IT Incident","Network Server","No",""
"State of North Dakota","ND","Healthcare Provider","35416","10/27/2020","Hacking/IT Incident","Email","No",""
"Luxottica of America Inc.","OH","Business Associate","829454","10/27/2020","Hacking/IT Incident","Network Server","Yes",""
"Northwest Eye Surgeons, P.C. and Sight Partners LLC","WA","Healthcare Provider","20838","10/26/2020","Hacking/IT Incident","Network Server","No",""
"Jemez Health & Human Services","NM","Healthcare Provider","4290","10/26/2020","Improper Disposal","Desktop Computer, Laptop","No",""
"Allergy & Asthma Center","TX","Healthcare Provider","711","10/26/2020","Unauthorized Access/Disclosure","Email","No",""
"Centerstone of Indiana, Inc.","IN","Healthcare Provider","11638","10/23/2020","Hacking/IT Incident","Email","No",""
"Centerstone of Tennessee, Inc.","TN","Healthcare Provider","50965","10/23/2020","Hacking/IT Incident","Email","No",""
"The Bridge, Inc.","NY","Healthcare Provider","16431","10/23/2020","Hacking/IT Incident","Email","No",""
"Lycoming-Clinton Joinder Board Programs","PA","Business Associate","14500","10/23/2020","Hacking/IT Incident","Email","Yes",""
"Perry County Memorial Hospital","MO","Healthcare Provider","4538","10/22/2020","Hacking/IT Incident","Email","No",""
"Arkansas Otolaryngology Center, PA","AR","Healthcare Provider","12000","10/22/2020","Unauthorized Access/Disclosure","Email","No",""
"Community Clinic of Maui","HI","Healthcare Provider","1784","10/22/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Provider Health Services","LA","Healthcare Provider","1700","10/20/2020","Hacking/IT Incident","Network Server","Yes",""
"Ascend Clinical, LLC","CA","Healthcare Provider","77443","10/19/2020","Hacking/IT Incident","Network Server","No",""
"OSF HealthCare System","IL","Healthcare Provider","94171","10/19/2020","Hacking/IT Incident","Network Server","Yes",""
"Arkansas Methodist Medical Center","AR","Healthcare Provider","4916","10/19/2020","Hacking/IT Incident","Network Server","Yes",""
"Geisinger","PA","Healthcare Provider","86412","10/19/2020","Hacking/IT Incident","Network Server","Yes",""
"BryLin Hospitals, Incorporated","NY","Healthcare Provider","8000","10/17/2020","Hacking/IT Incident","Network Server","No",""
"DJO, LLC","CA","Healthcare Provider","3429","10/16/2020","Hacking/IT Incident","Email","Yes",""
"Center for Autism and Related Disorders","CA","Healthcare Provider","1440","10/16/2020","Hacking/IT Incident","Email","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","1062","10/16/2020","Unauthorized Access/Disclosure","Email","No",""
"WellMed","TX","Healthcare Provider","591","10/15/2020","Theft","Paper/Films","No",""
"Mary Rutan Hospital","OH","Healthcare Provider","1676","10/15/2020","Unauthorized Access/Disclosure","Other","No",""
"Bonnie Brae","NJ","Healthcare Provider","884","10/14/2020","Hacking/IT Incident","Network Server","No",""
"Passavant Memorial Homes, Inc.","PA","Healthcare Provider","25000","10/14/2020","Hacking/IT Incident","Network Server","No",""
"Heavenly Hands Family Medical Clinic","TX","Healthcare Provider","2000","10/14/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Practice Transformation Solutions, LLC","VA","Business Associate","1678","10/13/2020","Hacking/IT Incident","Email","Yes",""
"Georgia Department of Human Services ","GA","Healthcare Clearing House","45732","10/09/2020","Hacking/IT Incident","Email","No",""
"Einstein Healthcare Network","PA","Healthcare Provider","353616","10/09/2020","Hacking/IT Incident","Email","No",""
"Cedar County Iowa, Board of Supervisors","IA","Healthcare Provider","1138","10/08/2020","Hacking/IT Incident","Email","No",""
"Milestone Electric, Inc.","TX","Health Plan","4973","10/08/2020","Hacking/IT Incident","Email","No",""
"Atlantic Medical Imaging","NJ","Healthcare Provider","74877","10/06/2020","Hacking/IT Incident","Email","No",""
"Mayo Clinic","MN","Healthcare Provider","1614","10/05/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Premier Health Partners","OH","Healthcare Provider","749","10/02/2020","Unauthorized Access/Disclosure","Email","No",""
"Virginia Cancer Institute Incorporated","VA","Healthcare Provider","6258","10/02/2020","Hacking/IT Incident","Email","No",""
"Oswego Health","NY","Healthcare Provider","13619","09/30/2020","Hacking/IT Incident","Email","No",""
"Sonoma Recovery Services, LLC d/b/a/ Olympia House ","CA","Healthcare Provider","2527","09/30/2020","Hacking/IT Incident","Network Server","No",""
"Excalibur Youth Services, LLC ","SC","Healthcare Provider","2851","09/28/2020","Hacking/IT Incident","Network Server","No",""
"Voxx International Corp.","FL","Health Plan","6034","09/28/2020","Hacking/IT Incident","Network Server","No",""
"EyeMed Vision Care LLC","OH","Business Associate","1474000","09/28/2020","Unauthorized Access/Disclosure","Email","Yes",""
"Century Specialty Script","NY","Healthcare Provider","16038","09/28/2020","Hacking/IT Incident","Email","No",""
"Oaklawn Hospital","MI","Healthcare Provider","26861","09/25/2020","Hacking/IT Incident","Email","No",""
"Legacy Community Health Services, Inc.","TX","Healthcare Provider","228009","09/25/2020","Hacking/IT Incident","Email","No",""
"Mono County","CA","Healthcare Provider","2850","09/25/2020","Hacking/IT Incident","Electronic Medical Record","No",""
"Seven Counties Services, Inc.","KY","Healthcare Provider","13375","09/25/2020","Hacking/IT Incident","Email","No",""
"MedStar Health, Inc.","MD","Healthcare Provider","668","09/25/2020","Hacking/IT Incident","Network Server","Yes",""
"Montefiore Medical Center","NY","Healthcare Provider","4004","09/18/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Pollack, Barbaccia, & Guzman MD PC","NY","Healthcare Provider","1135","09/18/2020","Theft","Paper/Films","No",""
"University of Missouri Health Care","MO","Healthcare Provider","189736","09/17/2020","Hacking/IT Incident","Email","No",""
"OrthoAtlanta, LLC","GA","Healthcare Provider","5600","09/17/2020","Hacking/IT Incident","Network Server","No",""
"Sheltering Arms Physical Rehabilitation Centers","VA","Healthcare Provider","683","09/16/2020","Hacking/IT Incident","Network Server","Yes",""
"Accents on Health","CO","Healthcare Provider","2000","09/16/2020","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Alameda Health System ","CA","Healthcare Provider","2691","09/15/2020","Hacking/IT Incident","Email","No",""
"Community Surgical Supply of Toms River, Inc.","NJ","Healthcare Provider","31550","09/15/2020","Hacking/IT Incident","Email","No",""
"Piedmont Cancer Institute, P.C.","GA","Healthcare Provider","5226","09/15/2020","Hacking/IT Incident","Email","No",""
"Nuvance Health (on behalf of its covered entities)","NY","Healthcare Provider","314829","09/15/2020","Hacking/IT Incident","Network Server","Yes",""
"Montefiore Medical Center ","NY","Healthcare Provider","81552","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Jewish Home Lifecare d/b/a The New Jewish Home","NY","Healthcare Provider","5242","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Hospice & Palliative Care Buffalo, Inc.  ","NY","Healthcare Provider","47272","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Samaritan Daytop Village, Inc.","NY","Healthcare Provider","5890","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Christiana Care Health Services, Inc.","DE","Healthcare Provider","1229","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider","141669","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Samaritan Healthcare & Hospice","NJ","Healthcare Provider","3657","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Lehigh Valley Health Network","PA","Healthcare Provider","81487","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Veterans Health Administration","DC","Healthcare Provider","44308","09/14/2020","Hacking/IT Incident","Network Server","No",""
"Stony Brook University Hospital","NY","Healthcare Provider","175803","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Mount Sinai Health System","NY","Healthcare Provider","87535","09/13/2020","Hacking/IT Incident","Network Server","Yes",""
"George West Mental Health Foundation dba Skyland Trail","GA","Healthcare Provider","2818","09/12/2020","Hacking/IT Incident","Other","No",""
"Riverside Health System","VA","Healthcare Provider","54151","09/11/2020","Hacking/IT Incident","Network Server","Yes",""
"Adventist HealthCare","MD","Healthcare Provider","13041","09/11/2020","Hacking/IT Incident","Network Server","Yes",""
"Specialized Alternatives for Families & Youth of America, Inc.","OH","Business Associate","58123","09/11/2020","Hacking/IT Incident","Email","Yes",""
"Total Urology Care of New York PLLC","NY","Healthcare Provider","23000","09/10/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"SCL Health – Colorado (affiliated covered entity) ","CO","Healthcare Provider","343493","09/10/2020","Hacking/IT Incident","Network Server","Yes",""
"SCL Health – Montana (affiliated covered entity) ","CO","Healthcare Provider","93642","09/10/2020","Hacking/IT Incident","Network Server","Yes",""
"SCL Health – Kansas (affiliated covered entity) ","CO","Healthcare Provider","3845","09/10/2020","Hacking/IT Incident","Network Server","Yes",""
"Mental Health Center of Boulder County Inc. dba Mental Health Partners ","CO","Healthcare Provider","2650","09/09/2020","Hacking/IT Incident","Email","No",""
"Baylor College of Medicine","TX","Healthcare Provider","4500","09/09/2020","Hacking/IT Incident","Network Server","Yes",""
"Lycoming-Clinton Joinder Board Programs","PA","Business Associate","3905","09/08/2020","Hacking/IT Incident","Email","Yes",""
"Servicios de Salud Primarios de Barceloneta, Inc. ","","Healthcare Provider","60200","09/04/2020","Hacking/IT Incident","Network Server","No",""
"Advocate Aurora Health","WI","Healthcare Provider","2979","09/04/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Roper St. Francis Healthcare","SC","Healthcare Provider","6000","09/03/2020","Hacking/IT Incident","Email","No",""
"H. Lee Moffitt Cancer Center & Research Institute ","FL","Healthcare Provider","4056","09/02/2020","Theft","Other Portable Electronic Device, Paper/Films","No",""
"The  Baton Rouge Clinic, A Medical Corporation","LA","Healthcare Provider","308169","09/02/2020","Hacking/IT Incident","Desktop Computer, Email, Network Server","No",""
"Spectrum Health","MI","Healthcare Provider","52711","09/01/2020","Hacking/IT Incident","Network Server","Yes",""
"BEACON ORTHOPAEDICS & SPORTS MEDICINE","OH","Healthcare Provider","2869","08/28/2020","Theft","Other, Other Portable Electronic Device","No",""
"Utah Pathology Services, Inc.","UT","Healthcare Provider","112124","08/28/2020","Hacking/IT Incident","Email","No",""
"Assured Imaging","AZ","Healthcare Provider","244813","08/27/2020","Hacking/IT Incident","Network Server","No",""
"Glacier Surgical Associates","AK","Healthcare Provider","1538","08/25/2020","Hacking/IT Incident","Network Server","No",""
"OrthoSC, LLC","SC","Healthcare Provider","3000","08/25/2020","Hacking/IT Incident","Email","No",""
"Waystar Health","KY","Business Associate","1021","08/25/2020","Hacking/IT Incident","Network Server","Yes",""
"City of Lafayette Fire Department","CO","Healthcare Provider","15000","08/25/2020","Hacking/IT Incident","Network Server","No",""
"Consultant Anesthesiologists, Inc.","OH","Healthcare Provider","740","08/25/2020","Theft","Paper/Films","No",""
"Elwyn","PA","Healthcare Provider","16579","08/21/2020","Hacking/IT Incident","Email","No",""
"Humana Inc","KY","Health Plan","501","08/19/2020","Hacking/IT Incident","Other","No",""
"Arnot Health","NY","Healthcare Provider","1164","08/18/2020","Hacking/IT Incident","Email, Network Server","Yes",""
"Cook Children's Medical Center","TX","Healthcare Provider","1768","08/17/2020","Loss","Other Portable Electronic Device","No",""
"Crozer-Keystone Health System","PA","Healthcare Provider","177023","08/14/2020","Hacking/IT Incident","Network Server","No",""
"Selected Benefits","PA","Business Associate","8100","08/14/2020","Hacking/IT Incident","Email","Yes",""
"D&S Residential Holdings, LLC","TX","Healthcare Provider","2102","08/14/2020","Hacking/IT Incident","Email","No",""
"Advocate Aurora Health ","WI","Healthcare Provider","1907","08/14/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"The Iowa Clinic, P.C.","IA","Healthcare Provider","914","08/11/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Ashley County Medical Center","AR","Healthcare Provider","772","08/07/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Dynasplint Systems, Inc.","MD","Healthcare Provider","102800","08/06/2020","Hacking/IT Incident","Network Server","No",""
"Summit Medical Associates","IN","Healthcare Provider","7264","08/04/2020","Hacking/IT Incident","Network Server","No",""
"St. Peter's Health Partners Medical Associates, P.C.","NY","Healthcare Provider","1789","08/03/2020","Loss","Other","Yes",""
"Freeport Regional Health Care Foundation","IL","Healthcare Provider","4120","07/31/2020","Hacking/IT Incident","Email","No",""
"St. Christopher's Hospital for Children","PA","Healthcare Provider","7557","07/31/2020","Unauthorized Access/Disclosure","Email","No",""
"Muskingum Valley Health Centers","OH","Healthcare Provider","7447","07/31/2020","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Elkins Rehabilitation & Care Center","WV","Healthcare Provider","3127","07/30/2020","Hacking/IT Incident","Email","No",""
"Berkshire Farm Center and Services for Youth","NY","Healthcare Provider","4950","07/30/2020","Hacking/IT Incident","Network Server","No",""
"Children's Hospital Colorado","CO","Healthcare Provider","2553","07/27/2020","Hacking/IT Incident","Email","No",""
"Owens Ear Center","TX","Healthcare Provider","19908","07/27/2020","Unauthorized Access/Disclosure","Network Server","No",""
"University of Maryland Faculty Physicians, Inc. / University of Maryland Medical Center","MD","Healthcare Provider","33896","07/24/2020","Hacking/IT Incident","Email","No",""
"Walgreen Co.","IL","Healthcare Provider","72143","07/24/2020","Theft","Other Portable Electronic Device, Paper/Films","No",""
"Town of Babylon","NY","Healthcare Provider","1974","07/24/2020","Hacking/IT Incident","Email","No",""
"Supervalu Pharmacies, Inc.","MN","Healthcare Provider","1500","07/24/2020","Theft","Other, Paper/Films","No",""
"Highpoint Foot & Ankle Center","PA","Healthcare Provider","25554","07/20/2020","Hacking/IT Incident","Network Server","No",""
"University of Utah","UT","Healthcare Provider","10000","07/20/2020","Hacking/IT Incident","Email","No",""
"NCP Healthcare Management Company","MA","Business Associate","78070","07/17/2020","Hacking/IT Incident","Email","Yes",""
"Maryland Health Enterprises DBA Lorien Health Services ","MD","Healthcare Provider","47754","07/17/2020","Hacking/IT Incident","Network Server","No",""
"Allergy and Asthma Clinic of Fort Worth","TX","Healthcare Provider","69777","07/16/2020","Hacking/IT Incident","Network Server","No",""
"US HealthCenter, Inc.","WI","Business Associate","1441","07/16/2020","Hacking/IT Incident","Email","Yes",""
"The Puerto Rican Organization to Motivate, Enlighten, and Serve Addicts, Inc. (PROMESA)","NY","Healthcare Provider","1002","07/16/2020","Hacking/IT Incident","Email","No",""
"Wisconsin Department of Corrections","WI","Healthcare Provider","1853","07/15/2020","Unauthorized Access/Disclosure","Other","No",""
"City Dental","CA","Healthcare Provider","900","07/14/2020","Hacking/IT Incident","Network Server","No",""
"Greenway Health, LLC","FL","Business Associate","2251","07/10/2020","Hacking/IT Incident","Other","Yes",""
"Jim Dinh, DC ","TX","Business Associate","500","07/10/2020","Theft","Desktop Computer, Laptop, Other Portable Electronic Device","Yes",""
"Tak-ming Ko, M.D., LLC","AK","Healthcare Provider","1158","07/09/2020","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Four Winds Behavioral Health ","NM","Healthcare Provider","500","07/06/2020","Hacking/IT Incident","Email","No",""
"Central California Alliance for Health","CA","Health Plan","35883","07/02/2020","Hacking/IT Incident","Email","No",""
"Independence Blue Cross","PA","Business Associate","2393","07/02/2020","Unauthorized Access/Disclosure","Other","Yes",""
"Florida Orthopaedic Institute","FL","Healthcare Provider","640000","07/01/2020","Hacking/IT Incident","Network Server","No",""
"Carter and Hoff Dentistry","NC","Healthcare Provider","7000","07/01/2020","Hacking/IT Incident","Network Server","No",""
"Premier Kids Care, Inc.","GA","Healthcare Provider","6265","06/29/2020","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"M&T Bank","NY","Business Associate","5878","06/29/2020","Unauthorized Access/Disclosure","Email","Yes",""
"Benefit Recovery Specialists, Inc. ","TX","Business Associate","274837","06/26/2020","Hacking/IT Incident","Network Server","Yes",""
"Rose Dental ","TX","Healthcare Provider","6169","06/26/2020","Hacking/IT Incident","Email","No",""
"Rose Dental ","TX","Healthcare Provider","2835","06/26/2020","Hacking/IT Incident","Email","No",""
"The StayWell Company, LLC","PA","Business Associate","971","06/26/2020","Hacking/IT Incident","Network Server","Yes",""
"Morneau Shepell Limited","IL","Healthcare Provider","1162","06/25/2020","Hacking/IT Incident","Email","No",""
"Grace & Porta Benefits, inc.","MI","Health Plan","572","06/23/2020","Hacking/IT Incident","Email","No",""
"Iowa Total Care, Inc.","IA","Health Plan","11581","06/23/2020","Unauthorized Access/Disclosure","Email","No",""
"CHI St. Luke's Health Memorial","TX","Healthcare Provider","1045","06/19/2020","Unauthorized Access/Disclosure","Network Server","No",""
"CodeMetro, Inc.","CA","Business Associate","62807","06/19/2020","Hacking/IT Incident","Network Server","Yes",""
"American Medical Technologies ","CA","Healthcare Provider","47767","06/18/2020","Hacking/IT Incident","Electronic Medical Record, Email, Network Server","No",""
"North Shore Pain Management","MA","Healthcare Provider","12472","06/18/2020","Hacking/IT Incident","Network Server","No",""
"The Kroger Co., for itself and its affiliates and subsidiaries","OH","Healthcare Provider","10974","06/18/2020","Hacking/IT Incident","Network Server","No",""
"Oral and Maxillofacial Surgery Associates, P.A.","SC","Healthcare Provider","35498","06/17/2020","Hacking/IT Incident","Desktop Computer, Network Server, Other Portable Electronic Device","No",""
"Frank D. Lanterman Regional Center","CA","Healthcare Provider","3489","06/16/2020","Hacking/IT Incident","Network Server","Yes",""
"Legacy Community Health Services","TX","Healthcare Provider","19000","06/15/2020","Hacking/IT Incident","Email","No",""
"Healthcare Fiscal Management Inc.","NC","Business Associate","58000","06/12/2020","Hacking/IT Incident","Network Server","Yes",""
"Integra Managed Care","NY","Health Plan","644","06/12/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Sunrise Treatment Center,LLC","OH","Healthcare Provider","3660","06/12/2020","Hacking/IT Incident","Email","No",""
"Magellan Health Inc.","AZ","Health Plan","1013956","06/12/2020","Hacking/IT Incident","Email, Network Server","No",""
"Axis Neuromonitoring, Inc., d/b/a Apex IONM Solutions","TX","Business Associate","1876","06/11/2020","Hacking/IT Incident","Email","Yes",""
"University of Missouri Health Care","MO","Healthcare Provider","5074","06/11/2020","Hacking/IT Incident","Email","No",""
"Rangely District Hospital","CO","Healthcare Provider","6339","06/08/2020","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"University of Utah","UT","Healthcare Provider","1909","06/08/2020","Hacking/IT Incident","Email","No",""
"JDA eHealth Systems, Inc.","IL","Business Associate","917","06/02/2020","Unauthorized Access/Disclosure","Other, Paper/Films","Yes",""
"City of Philadelphia","PA","Health Plan","135988","06/01/2020","Hacking/IT Incident","Email","No",""
"Rochester Regional Health","NY","Healthcare Provider","1945","06/01/2020","Hacking/IT Incident","Email","No",""
"HEALTHY CONNECTIONS INC","AR","Healthcare Provider","3565","06/01/2020","Unauthorized Access/Disclosure","Email","No",""
"Allied Physicians of Michiana, LLC","IN","Healthcare Provider","976","05/28/2020","Improper Disposal","Paper/Films","Yes",""
"Saint Joseph Regional Medical Center, Inc.","IN","Healthcare Provider","1000","05/28/2020","Improper Disposal","Paper/Films","Yes",""
"New Avenues, Inc.","IN","Healthcare Provider","1000","05/28/2020","Improper Disposal","Paper/Films","Yes",""
"Elkhart Emergency Physicians, Inc .","IN","Healthcare Provider","550000","05/28/2020","Improper Disposal","Paper/Films","Yes",""
"Renee Applebaum Phd Pc","MI","Healthcare Provider","3800","05/24/2020","Hacking/IT Incident","Network Server","Yes",""
"Mediclaim, LLC","MI","Business Associate","14931","05/22/2020","Hacking/IT Incident","Network Server","Yes",""
"Kaiser Permanente ","MD","Health Plan","2756","05/22/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Everett & Hurite Ophthalmic Association","PA","Healthcare Provider","34113","05/22/2020","Hacking/IT Incident","Email","No",""
"Woodlawn Dental Center","OH","Healthcare Provider","14419","05/18/2020","Hacking/IT Incident","Network Server","No",""
"PsyGenics, Inc.","MI","Business Associate","608","05/18/2020","Unauthorized Access/Disclosure","Email","Yes",""
"Mat-Su Surgical Associates, APC","AK","Healthcare Provider","13146","05/15/2020","Hacking/IT Incident","Laptop, Network Server","No",""
